ticket_id,customer_id,issue_type,response_time,resolution_status,feedback_rating
T1010,,Account Issue,,,3.7
T1011,C19647,Refund Request,21 hours,Escalated,3.0
T1012,C67090,Refund Request,39 hours,Escalated,2.2
T1013,C93041,Product Inquiry,36 hours,,1.6
T1014,C81178,Order Delay,47 hours,Resolved,4.6
T1015,C87684,Product Inquiry,45 hours,Resolved,3.0
T1016,C01577,Refund Request,2 hours,Pending,5.0
T1017,C90697,Order Delay,10 hours,Escalated,3.3
T1018,C48198,Refund Request,16 hours,Pending,2.5
T1019,,Product Inquiry,47 hours,Resolved,3.4
T1020,C45404,Refund Request,48 hours,Pending,3.9
T1021,C46732,Order Delay,37 hours,Pending,3.5
T1022,C97069,Order Delay,,Resolved,
T1023,C83143,Account Issue,36 hours,Escalated,1.9
T1024,C72905,Product Inquiry,8 hours,Resolved,3.2
T1025,C87229,,37 hours,Resolved,4.4
T1026,C10642,Account Issue,22 hours,Resolved,2.1
T1027,C38020,Order Delay,36 hours,Resolved,3.7
T1028,C84919,Account Issue,38 hours,Pending,4.7
T1029,C52279,Order Delay,36 hours,Escalated,1.1
T1030,C40681,Order Delay,40 hours,Escalated,1.2
T1031,C18731,Order Delay,29 hours,Escalated,1.0
T1032,C92535,Product Inquiry,22 hours,Resolved,1.6
T1033,C78511,Account Issue,34 hours,Escalated,1.1
T1034,C59251,Product Inquiry,11 hours,Pending,4.8
T1035,C47807,Account Issue,38 hours,Pending,3.0
T1036,C67709,Product Inquiry,31 hours,Resolved,2.7
T1037,C71162,Account Issue,8 hours,Pending,4.0
T1038,C13324,,9 hours,Pending,3.3
T1039,,Refund Request,15 hours,Pending,4.2
T1040,C40731,Order Delay,9 hours,Pending,2.9
T1041,C77685,Order Delay,29 hours,Pending,1.7
T1042,C66071,Product Inquiry,32 hours,Pending,2.8
T1043,C53930,Refund Request,31 hours,Resolved,4.9
T1044,C44363,Refund Request,17 hours,Resolved,2.0
T1045,C37841,Order Delay,27 hours,Escalated,3.4
T1046,C78393,,1 hours,Resolved,1.6
T1047,C14918,Product Inquiry,26 hours,Escalated,3.8
T1048,C32531,Order Delay,35 hours,Resolved,1.5
T1049,C54146,Account Issue,23 hours,,2.5
T1050,,Product Inquiry,23 hours,Pending,3.0
T1051,C49991,Account Issue,44 hours,Resolved,2.9
T1052,C18146,Refund Request,39 hours,Resolved,4.1
T1053,C89624,Account Issue,6 hours,Escalated,1.8
T1054,,Account Issue,19 hours,Resolved,2.7
T1055,C38229,,12 hours,Pending,4.2
T1056,C22702,Order Delay,6 hours,Pending,
T1057,C40684,Product Inquiry,34 hours,Pending,1.9
T1058,C23600,Order Delay,7 hours,,
T1059,,Product Inquiry,34 hours,Pending,3.2
T1060,C79767,Product Inquiry,46 hours,Escalated,1.7
T1061,,Account Issue,12 hours,Pending,1.2
T1062,C55371,Order Delay,37 hours,Resolved,1.1
T1063,C78094,Account Issue,22 hours,Pending,1.1
T1064,C65833,Order Delay,19 hours,Resolved,5.0
T1065,C78837,Order Delay,34 hours,Pending,1.5
T1066,C32576,Account Issue,6 hours,Pending,4.4
T1067,C00095,Refund Request,22 hours,Pending,3.1
T1068,C07303,Refund Request,13 hours,Pending,3.6
T1069,C84455,Order Delay,28 hours,Resolved,4.9
T1070,C06323,Product Inquiry,10 hours,,1.8
T1071,C62348,Refund Request,41 hours,Resolved,4.1
T1072,C30888,Account Issue,2 hours,Escalated,2.4
T1073,C99369,Product Inquiry,46 hours,Escalated,2.1
T1074,C17818,Order Delay,,Resolved,4.1
T1075,C97411,Refund Request,4 hours,Pending,3.8
T1076,C45526,Account Issue,15 hours,Pending,1.3
T1077,,Product Inquiry,39 hours,Escalated,3.1
T1078,,Account Issue,37 hours,Pending,1.1
T1079,C31063,Product Inquiry,9 hours,Escalated,4.4
T1080,C22912,,17 hours,Escalated,2.4
T1081,C76936,Order Delay,37 hours,Resolved,2.3
T1082,C60812,Order Delay,8 hours,Escalated,2.6
T1083,C42243,Account Issue,2 hours,Resolved,3.3
T1084,C18728,Refund Request,47 hours,Escalated,1.5
T1085,C77785,Order Delay,38 hours,Pending,4.5
T1086,C66933,Product Inquiry,4 hours,Resolved,1.2
T1087,C80379,Order Delay,6 hours,Pending,
T1088,C66839,Product Inquiry,16 hours,Escalated,2.1
T1089,C22378,,48 hours,Pending,1.3
T1090,C78043,Account Issue,26 hours,Escalated,4.9
T1091,C50464,Account Issue,47 hours,Resolved,3.9
T1092,C32953,Refund Request,38 hours,Escalated,1.7
T1093,C73920,Product Inquiry,16 hours,Escalated,
T1094,C46870,,47 hours,Escalated,4.8
T1095,C16273,Order Delay,15 hours,Escalated,3.0
T1096,C90679,Order Delay,16 hours,Resolved,4.2
T1097,C55216,Order Delay,7 hours,Pending,3.6
T1098,C32304,Order Delay,9 hours,Escalated,4.3
T1099,C72533,Order Delay,36 hours,Escalated,2.1
T1100,C76794,Account Issue,27 hours,,4.4
T1101,C07897,,45 hours,Resolved,1.4
T1102,C59621,Order Delay,19 hours,Resolved,
T1103,C70731,Account Issue,4 hours,Escalated,4.0
T1104,C38302,Refund Request,9 hours,Escalated,1.5
T1105,C98357,Account Issue,29 hours,Escalated,3.2
T1106,C54028,Product Inquiry,34 hours,Pending,4.2
T1107,C68670,Refund Request,21 hours,Resolved,1.1
T1108,C93159,Product Inquiry,21 hours,Escalated,1.9
T1109,C55949,Account Issue,15 hours,Escalated,
T1110,C11156,Order Delay,15 hours,Resolved,4.1
T1111,C40799,,24 hours,Escalated,4.0
T1112,C07296,Product Inquiry,7 hours,Escalated,
T1113,C02043,Account Issue,13 hours,Escalated,
T1114,C46867,Account Issue,40 hours,Resolved,1.3
T1115,C52233,Product Inquiry,15 hours,Escalated,2.6
T1116,C84308,,30 hours,Resolved,3.5
T1117,C30484,Account Issue,41 hours,Pending,1.3
T1118,C21765,Order Delay,36 hours,Resolved,3.9
T1119,C65315,,22 hours,Escalated,1.2
T1120,C38506,Product Inquiry,22 hours,Resolved,4.9
T1121,C67534,Account Issue,13 hours,Resolved,3.0
T1122,C89405,Order Delay,2 hours,Resolved,
T1123,,Product Inquiry,39 hours,Pending,1.9
T1124,C94200,Product Inquiry,25 hours,Pending,2.6
T1125,C35999,Refund Request,37 hours,Escalated,1.1
T1126,C58416,Order Delay,18 hours,Escalated,4.0
T1127,C34821,Refund Request,36 hours,Resolved,3.4
T1128,C06319,Refund Request,2 hours,Pending,2.2
T1129,C21447,Order Delay,35 hours,Pending,1.2
T1130,C53193,Order Delay,40 hours,Pending,2.4
T1131,C36169,Product Inquiry,41 hours,Pending,3.8
T1132,C01119,Account Issue,33 hours,Resolved,4.8
T1133,C21325,Order Delay,28 hours,Resolved,2.5
T1134,C43043,Refund Request,48 hours,Resolved,3.4
T1135,C00803,Product Inquiry,38 hours,Resolved,3.4
T1136,C04065,Product Inquiry,22 hours,Escalated,3.4
T1137,C93160,Product Inquiry,18 hours,Escalated,1.1
T1138,C63932,Account Issue,38 hours,Escalated,3.0
T1139,C76357,Account Issue,29 hours,Escalated,1.7
T1140,C36138,Account Issue,8 hours,Pending,2.8
T1141,C81560,Refund Request,46 hours,Pending,
T1142,C66298,Account Issue,2 hours,Pending,4.2
T1143,,Refund Request,6 hours,Pending,4.6
T1144,C33697,Order Delay,33 hours,Resolved,4.1
T1145,C86369,Refund Request,46 hours,Resolved,1.8
T1146,C73583,Account Issue,25 hours,,
T1147,C51688,Order Delay,29 hours,Resolved,1.1
T1148,C73299,Account Issue,48 hours,Resolved,
T1149,C07750,Account Issue,13 hours,Resolved,3.8
T1150,C44079,Product Inquiry,40 hours,Escalated,2.2
T1151,C87216,Product Inquiry,6 hours,Escalated,1.1
T1152,C06831,Order Delay,29 hours,Escalated,2.8
T1153,C26533,Refund Request,24 hours,Pending,1.5
T1154,C65966,Product Inquiry,24 hours,Escalated,2.8
T1155,C09218,Product Inquiry,25 hours,Escalated,2.8
T1156,C91389,Order Delay,12 hours,Resolved,3.2
T1157,C13930,Product Inquiry,19 hours,Pending,4.4
T1158,C67683,Refund Request,22 hours,Resolved,2.5
T1159,C05624,Product Inquiry,,Pending,4.4
T1160,C28849,Product Inquiry,2 hours,Pending,4.8
T1161,C75605,Order Delay,1 hours,Resolved,2.8
T1162,C15672,Refund Request,,Resolved,3.2
T1163,C17499,Account Issue,25 hours,Escalated,1.5
T1164,C01703,Order Delay,35 hours,Pending,3.8
T1165,C41459,Account Issue,12 hours,Resolved,2.7
T1166,C03971,Order Delay,3 hours,Resolved,4.6
T1167,C73625,Refund Request,36 hours,Escalated,4.4
T1168,C76541,Account Issue,43 hours,Pending,4.0
T1169,C14882,Account Issue,,Resolved,4.2
T1170,C55646,Product Inquiry,45 hours,Pending,1.3
T1171,C63673,Product Inquiry,18 hours,Pending,1.9
T1172,C47965,Product Inquiry,47 hours,Escalated,3.2
T1173,C97080,Order Delay,46 hours,Resolved,2.0
T1174,C79157,Refund Request,48 hours,Escalated,4.5
T1175,C07202,Product Inquiry,26 hours,Escalated,2.6
T1176,C33374,Refund Request,42 hours,Resolved,3.2
T1177,C21911,Product Inquiry,45 hours,,1.4
T1178,C60819,Product Inquiry,43 hours,Pending,1.7
T1179,C39488,Product Inquiry,18 hours,Escalated,2.0
T1180,C84451,,10 hours,Resolved,4.7
T1181,C06957,Order Delay,4 hours,Escalated,1.4
T1182,C42861,Account Issue,30 hours,Escalated,3.2
T1183,C61559,Product Inquiry,,Escalated,4.0
T1184,C10942,Order Delay,27 hours,Pending,4.5
T1185,C47300,Product Inquiry,42 hours,Pending,3.1
T1186,C31847,Product Inquiry,34 hours,Pending,2.9
T1187,C63744,Product Inquiry,4 hours,Pending,2.4
T1188,C34774,Refund Request,10 hours,Escalated,2.1
T1189,C17293,Product Inquiry,44 hours,Escalated,4.2
T1190,C66529,,16 hours,Resolved,1.5
T1191,C00561,Product Inquiry,11 hours,Escalated,2.4
T1192,C75190,Account Issue,45 hours,Resolved,1.8
T1193,C48027,Account Issue,15 hours,Resolved,2.9
T1194,C82649,Refund Request,23 hours,Resolved,2.4
T1195,C85544,Account Issue,46 hours,Pending,1.9
T1196,C24384,Order Delay,44 hours,Escalated,4.5
T1197,C33841,Refund Request,46 hours,Resolved,3.9
T1198,,Order Delay,31 hours,Escalated,3.8
T1199,C29623,Refund Request,31 hours,Resolved,
T1200,C35803,Account Issue,43 hours,Resolved,3.1
T1201,C84522,Product Inquiry,42 hours,Escalated,4.4
T1202,C33595,Product Inquiry,48 hours,Escalated,2.5
T1203,C71558,Refund Request,25 hours,Resolved,4.8
T1204,C49744,Refund Request,39 hours,Escalated,2.2
T1205,C60430,Order Delay,6 hours,Pending,3.4
T1206,C29904,Refund Request,29 hours,Pending,3.5
T1207,C50891,Refund Request,18 hours,Escalated,3.9
T1208,C46080,Order Delay,27 hours,Pending,4.0
T1209,C32556,Account Issue,4 hours,Pending,1.2
T1210,C98219,Product Inquiry,5 hours,Resolved,2.6
T1211,C30278,Account Issue,43 hours,Resolved,4.8
T1212,C22985,Order Delay,2 hours,Escalated,2.8
T1213,C08358,Product Inquiry,9 hours,Resolved,1.3
T1214,C43712,Account Issue,44 hours,Escalated,2.7
T1215,C37803,Refund Request,23 hours,Escalated,1.5
T1216,C36979,Product Inquiry,38 hours,Resolved,
T1217,C60021,Account Issue,19 hours,Escalated,2.3
T1218,C82411,Account Issue,15 hours,Resolved,4.3
T1219,C95343,Account Issue,40 hours,Escalated,
T1220,,Product Inquiry,2 hours,Resolved,3.2
T1221,C14697,Account Issue,37 hours,Escalated,
T1222,C69400,Refund Request,36 hours,Resolved,2.1
T1223,C60743,Order Delay,40 hours,Pending,2.2
T1224,C99613,Account Issue,26 hours,Pending,2.4
T1225,C84379,Refund Request,2 hours,Escalated,1.5
T1226,C55912,Order Delay,16 hours,,4.9
T1227,C14297,Product Inquiry,36 hours,,2.5
T1228,C96886,Order Delay,10 hours,Pending,5.0
T1229,C17826,Refund Request,24 hours,Resolved,2.7
T1230,C07964,Order Delay,14 hours,Escalated,2.1
T1231,C88719,Account Issue,41 hours,Pending,3.1
T1232,C31410,Product Inquiry,30 hours,Pending,2.2
T1233,C97155,Refund Request,30 hours,Resolved,1.7
T1234,C49229,Account Issue,40 hours,Resolved,2.2
T1235,C02680,Account Issue,18 hours,Resolved,4.8
T1236,C87332,Account Issue,34 hours,Escalated,4.3
T1237,C93812,Order Delay,44 hours,Escalated,4.6
T1238,C88308,Account Issue,28 hours,Resolved,2.7
T1239,C41880,Account Issue,34 hours,Resolved,1.1
T1240,,Account Issue,35 hours,Resolved,3.5
T1241,,Refund Request,16 hours,Pending,3.3
T1242,C06237,Order Delay,35 hours,Escalated,2.7
T1243,C03610,Product Inquiry,9 hours,Resolved,1.6
T1244,C63192,Account Issue,48 hours,Pending,1.7
T1245,C39899,Product Inquiry,33 hours,Pending,1.7
T1246,C77963,Product Inquiry,20 hours,Pending,3.1
T1247,C20550,Refund Request,46 hours,Escalated,1.0
T1248,C46202,Product Inquiry,12 hours,Pending,3.5
T1249,C66501,,12 hours,Escalated,1.8
T1250,C15328,Refund Request,48 hours,Escalated,2.5
T1251,C38204,Order Delay,18 hours,Pending,2.4
T1252,C39750,Product Inquiry,1 hours,Resolved,1.8
T1253,C23286,Account Issue,48 hours,Escalated,3.1
T1254,C25802,Product Inquiry,5 hours,Escalated,
T1255,C60591,Product Inquiry,32 hours,Pending,2.1
T1256,C07479,Refund Request,,Escalated,2.7
T1257,C00869,Product Inquiry,34 hours,Pending,3.0
T1258,C34080,Refund Request,,Escalated,2.3
T1259,C60764,Account Issue,47 hours,Pending,
T1260,C16159,Product Inquiry,4 hours,Resolved,1.2
T1261,C42252,Product Inquiry,44 hours,Pending,4.2
T1262,C34740,Order Delay,34 hours,Resolved,4.0
T1263,C63532,Account Issue,23 hours,Resolved,1.3
T1264,C65945,Order Delay,18 hours,Resolved,2.6
T1265,C84544,Refund Request,7 hours,Resolved,2.6
T1266,C25932,Order Delay,3 hours,Escalated,3.7
T1267,C90288,Order Delay,44 hours,Escalated,3.2
T1268,C02162,Account Issue,16 hours,Pending,1.6
T1269,C50440,Refund Request,,Resolved,4.9
T1270,C24520,Account Issue,,Pending,1.5
T1271,C65023,Order Delay,47 hours,Resolved,3.8
T1272,C86855,Order Delay,6 hours,Pending,3.6
T1273,C06859,Refund Request,34 hours,Escalated,1.2
T1274,C47415,Refund Request,25 hours,,3.3
T1275,C42442,Order Delay,18 hours,Pending,1.4
T1276,C65083,Account Issue,24 hours,Resolved,2.9
T1277,C83557,Order Delay,6 hours,Pending,4.7
T1278,C21788,Account Issue,48 hours,Pending,4.1
T1279,C26879,Product Inquiry,33 hours,Resolved,4.8
T1280,C89768,Order Delay,31 hours,,3.7
T1281,C76732,Refund Request,39 hours,Escalated,2.8
T1282,C67852,Order Delay,26 hours,Resolved,2.8
T1283,C96869,Order Delay,1 hours,,2.2
T1284,C55023,Refund Request,29 hours,Escalated,1.5
T1285,C64046,Product Inquiry,44 hours,Pending,1.2
T1286,C72320,Refund Request,22 hours,Pending,1.6
T1287,C59750,Refund Request,14 hours,Pending,4.4
T1288,C88413,Account Issue,26 hours,Escalated,4.1
T1289,C78605,Order Delay,20 hours,Escalated,1.9
T1290,C17643,Account Issue,12 hours,Resolved,2.6
T1291,C27292,,15 hours,Pending,2.3
T1292,,Refund Request,34 hours,Resolved,1.7
T1293,C80644,Order Delay,23 hours,Pending,4.5
T1294,,Account Issue,45 hours,Pending,4.0
T1295,C63434,Account Issue,31 hours,Pending,2.5
T1296,C94468,Account Issue,19 hours,Escalated,2.4
T1297,C75005,Account Issue,1 hours,Resolved,4.2
T1298,,Order Delay,27 hours,Escalated,1.9
T1299,C98879,Refund Request,30 hours,Pending,4.7
T1300,C46676,Refund Request,29 hours,Pending,4.3
T1301,C37988,Product Inquiry,44 hours,Pending,3.7
T1302,C13884,Product Inquiry,19 hours,Resolved,4.9
T1303,C59208,Account Issue,37 hours,Escalated,3.2
T1304,C10956,Product Inquiry,6 hours,Resolved,4.2
T1305,C92291,Refund Request,20 hours,Resolved,2.7
T1306,C92973,Refund Request,29 hours,Escalated,1.0
T1307,C85055,Product Inquiry,36 hours,Pending,3.8
T1308,C42981,Order Delay,,Resolved,4.0
T1309,C53310,Product Inquiry,30 hours,Pending,4.7
T1310,C42782,Product Inquiry,27 hours,Escalated,2.7
T1311,C37897,Account Issue,14 hours,Escalated,2.9
T1312,C10997,Order Delay,11 hours,Escalated,2.0
T1313,C99631,Product Inquiry,31 hours,Escalated,1.1
T1314,C75179,Order Delay,23 hours,Resolved,4.7
T1315,C07236,,10 hours,Resolved,3.7
T1316,C99568,Refund Request,9 hours,Escalated,4.7
T1317,C04203,Order Delay,27 hours,Escalated,2.4
T1318,C57895,Refund Request,40 hours,Pending,1.7
T1319,C49795,Order Delay,15 hours,Pending,3.3
T1320,C92041,Product Inquiry,28 hours,Resolved,3.2
T1321,C88735,Product Inquiry,21 hours,,1.6
T1322,C45868,Product Inquiry,29 hours,Resolved,2.0
T1323,,Refund Request,30 hours,Resolved,1.5
T1324,C58750,Refund Request,47 hours,Resolved,3.8
T1325,C99037,Refund Request,45 hours,Pending,2.6
T1326,C61077,Refund Request,35 hours,Pending,2.8
T1327,C34163,Order Delay,47 hours,Resolved,3.1
T1328,C98339,Refund Request,6 hours,Resolved,2.4
T1329,C58600,Order Delay,46 hours,Pending,4.8
T1330,C81146,Account Issue,26 hours,Resolved,1.1
T1331,C14983,Refund Request,38 hours,Resolved,1.6
T1332,C19498,Account Issue,39 hours,Escalated,3.7
T1333,C01185,Order Delay,2 hours,Resolved,2.3
T1334,C90263,Order Delay,12 hours,Escalated,2.4
T1335,C90282,Product Inquiry,30 hours,Resolved,1.9
T1336,C02538,Product Inquiry,21 hours,Resolved,4.9
T1337,C46585,Account Issue,24 hours,Pending,2.4
T1338,,Order Delay,25 hours,Pending,1.6
T1339,C55669,,40 hours,Pending,5.0
T1340,C86359,Product Inquiry,30 hours,Pending,4.0
T1341,C02638,Refund Request,8 hours,Escalated,1.4
T1342,C80938,Account Issue,27 hours,Pending,1.2
T1343,C25419,Order Delay,2 hours,Pending,3.7
T1344,C55249,,27 hours,Resolved,3.2
T1345,C28996,Refund Request,39 hours,Pending,1.7
T1346,C99920,Product Inquiry,21 hours,Escalated,1.7
T1347,C50724,Order Delay,47 hours,Pending,3.0
T1348,,Account Issue,8 hours,Escalated,
T1349,,Product Inquiry,34 hours,Resolved,2.9
T1350,C92387,Account Issue,29 hours,Escalated,2.7
T1351,C26045,Account Issue,3 hours,,4.2
T1352,C64492,,17 hours,Pending,5.0
T1353,C23716,Order Delay,32 hours,Escalated,4.1
T1354,C31472,Account Issue,41 hours,Pending,1.3
T1355,C94554,Account Issue,34 hours,Resolved,4.6
T1356,C87725,Account Issue,37 hours,Escalated,1.8
T1357,C41485,Account Issue,44 hours,Pending,2.9
T1358,C44685,Account Issue,12 hours,Escalated,1.7
T1359,,Account Issue,1 hours,Escalated,
T1360,C94884,Refund Request,19 hours,Escalated,1.8
T1361,C72553,Account Issue,47 hours,Pending,1.5
T1362,C77891,Product Inquiry,31 hours,Resolved,4.1
T1363,C82997,Product Inquiry,40 hours,Pending,2.6
T1364,C74934,Product Inquiry,2 hours,Resolved,2.1
T1365,C24610,Product Inquiry,23 hours,Escalated,2.0
T1366,C15295,Refund Request,13 hours,Pending,4.0
T1367,C75869,Order Delay,41 hours,Pending,3.1
T1368,C89281,Account Issue,4 hours,Resolved,2.8
T1369,C99164,Product Inquiry,41 hours,Escalated,4.4
T1370,C05935,Product Inquiry,42 hours,Pending,4.2
T1371,C42988,Refund Request,35 hours,Escalated,4.7
T1372,C23007,Account Issue,,Escalated,3.9
T1373,C29408,Product Inquiry,45 hours,Resolved,3.8
T1374,C86948,Account Issue,,Pending,3.3
T1375,C97063,Refund Request,14 hours,Resolved,1.2
T1376,C68942,Order Delay,10 hours,Resolved,4.3
T1377,C24949,Product Inquiry,7 hours,Resolved,3.3
T1378,C19305,Refund Request,44 hours,Pending,1.2
T1379,C94265,Product Inquiry,6 hours,Escalated,4.3
T1380,C27003,Product Inquiry,28 hours,Resolved,2.6
T1381,C16887,Refund Request,24 hours,Escalated,1.8
T1382,C34084,Account Issue,26 hours,Escalated,1.2
T1383,C16698,Account Issue,27 hours,Resolved,5.0
T1384,C28037,Order Delay,40 hours,Pending,1.7
T1385,C74728,Order Delay,25 hours,Resolved,3.2
T1386,C28653,Account Issue,23 hours,,1.1
T1387,C26326,Product Inquiry,3 hours,Resolved,3.4
T1388,C24255,Refund Request,3 hours,Pending,3.7
T1389,C35520,Order Delay,22 hours,Escalated,1.9
T1390,C02501,Account Issue,33 hours,Pending,3.8
T1391,C55170,Order Delay,23 hours,Pending,2.0
T1392,C49275,Account Issue,21 hours,Resolved,4.1
T1393,C35550,Product Inquiry,5 hours,Resolved,2.8
T1394,,Order Delay,24 hours,Escalated,
T1395,,Product Inquiry,40 hours,Pending,1.0
T1396,C70397,Refund Request,33 hours,Pending,4.8
T1397,C62525,Account Issue,21 hours,Escalated,4.7
T1398,C88715,Refund Request,43 hours,Pending,2.4
T1399,C77961,Order Delay,24 hours,Pending,1.4
T1400,C56730,Product Inquiry,40 hours,Escalated,2.3
T1401,C49018,Refund Request,38 hours,Pending,3.8
T1402,C08096,Refund Request,,Pending,
T1403,,Account Issue,8 hours,Pending,2.0
T1404,,Order Delay,9 hours,Pending,4.6
T1405,C10574,Refund Request,30 hours,,2.1
T1406,C63390,Account Issue,23 hours,Pending,3.4
T1407,C18642,Account Issue,44 hours,Escalated,1.1
T1408,C86082,Product Inquiry,14 hours,Resolved,3.6
T1409,C44442,Product Inquiry,12 hours,Resolved,3.8
T1410,C93531,,40 hours,Pending,1.3
T1411,C34303,Product Inquiry,6 hours,Pending,1.6
T1412,,Account Issue,,Escalated,2.3
T1413,C16230,Account Issue,23 hours,Resolved,4.5
T1414,C46967,Refund Request,22 hours,Resolved,1.9
T1415,C16633,Product Inquiry,42 hours,Resolved,2.2
T1416,C22438,Product Inquiry,10 hours,Escalated,
T1417,C09808,Account Issue,17 hours,Pending,3.0
T1418,C54998,Order Delay,44 hours,Escalated,3.5
T1419,C10465,Account Issue,14 hours,Escalated,1.9
T1420,,Account Issue,21 hours,Resolved,2.7
T1421,C96164,Order Delay,36 hours,Pending,4.3
T1422,C28625,Refund Request,41 hours,Pending,2.4
T1423,C44053,Account Issue,48 hours,Pending,3.7
T1424,C87055,Order Delay,19 hours,Resolved,3.0
T1425,C93306,,12 hours,Pending,3.4
T1426,C85437,,22 hours,Pending,1.4
T1427,C04413,Order Delay,7 hours,Resolved,2.8
T1428,C21977,Product Inquiry,19 hours,Escalated,3.0
T1429,C21503,,48 hours,Resolved,1.5
T1430,C36492,Order Delay,6 hours,Resolved,1.9
T1431,C83584,Product Inquiry,25 hours,Escalated,1.9
T1432,C92657,Account Issue,6 hours,Pending,1.9
T1433,C52146,Account Issue,3 hours,Escalated,1.3
T1434,C90919,Product Inquiry,17 hours,,4.3
T1435,C17145,Refund Request,21 hours,Escalated,4.0
T1436,C26980,Account Issue,22 hours,Escalated,4.5
T1437,C81022,Refund Request,11 hours,Pending,1.7
T1438,C70632,Refund Request,21 hours,Resolved,4.7
T1439,C85649,Account Issue,2 hours,,3.9
T1440,C63917,Account Issue,10 hours,Pending,3.7
T1441,C24593,Product Inquiry,5 hours,Pending,3.7
T1442,C93862,Refund Request,23 hours,Resolved,2.6
T1443,C19044,Product Inquiry,33 hours,Resolved,2.6
T1444,C15461,Order Delay,42 hours,Escalated,4.7
T1445,C46978,Product Inquiry,,Pending,4.7
T1446,C09832,Refund Request,34 hours,Resolved,2.1
T1447,C08104,Account Issue,,Pending,1.4
T1448,C82516,Refund Request,18 hours,,3.2
T1449,C95909,Refund Request,26 hours,Escalated,4.8
T1450,C34629,Refund Request,20 hours,Resolved,1.9
T1451,C66320,Product Inquiry,,Pending,1.6
T1452,C60241,Order Delay,11 hours,,3.7
T1453,C09241,Account Issue,46 hours,Escalated,4.5
T1454,C20131,Account Issue,37 hours,Pending,1.5
T1455,C56822,Order Delay,22 hours,Resolved,1.5
T1456,C32221,Refund Request,30 hours,Resolved,1.8
T1457,C86204,Product Inquiry,24 hours,Resolved,
T1458,C33577,Refund Request,38 hours,Escalated,4.2
T1459,C18737,Account Issue,37 hours,Pending,4.3
T1460,C40005,Order Delay,,Resolved,4.3
T1461,C27308,Refund Request,11 hours,Escalated,1.4
T1462,C62187,Product Inquiry,8 hours,Resolved,2.0
T1463,C25299,Account Issue,44 hours,Pending,3.4
T1464,C20592,Product Inquiry,27 hours,Pending,
T1465,C03428,Refund Request,44 hours,Resolved,4.0
T1466,C14732,Refund Request,34 hours,Resolved,3.5
T1467,C92767,Account Issue,21 hours,Resolved,1.7
T1468,C49709,Refund Request,6 hours,Escalated,
T1469,C97667,Refund Request,27 hours,Escalated,2.9
T1470,C96052,Order Delay,38 hours,Escalated,1.1
T1471,C83637,Account Issue,47 hours,Resolved,2.4
T1472,C93216,Account Issue,35 hours,Resolved,2.1
T1473,C65414,Order Delay,20 hours,Resolved,3.3
T1474,C10934,Product Inquiry,38 hours,Escalated,3.6
T1475,C75203,Account Issue,10 hours,Pending,2.9
T1476,C50456,Product Inquiry,22 hours,Escalated,3.1
T1477,C91301,Refund Request,,Pending,1.9
T1478,C47869,Order Delay,8 hours,Escalated,3.1
T1479,C35530,Product Inquiry,19 hours,Pending,4.1
T1480,C51470,Account Issue,36 hours,Escalated,4.9
T1481,C76435,Refund Request,40 hours,Pending,4.8
T1482,C24527,Order Delay,1 hours,Pending,1.2
T1483,C62856,Order Delay,36 hours,Pending,1.7
T1484,C53612,Refund Request,13 hours,,2.5
T1485,C49232,Product Inquiry,14 hours,Escalated,5.0
T1486,C56084,Product Inquiry,36 hours,Escalated,4.5
T1487,C48031,Refund Request,17 hours,Escalated,1.4
T1488,C29885,Account Issue,34 hours,Escalated,4.1
T1489,C72520,Refund Request,41 hours,Escalated,2.2
T1490,C90228,Order Delay,14 hours,Escalated,1.9
T1491,C19590,Product Inquiry,22 hours,Escalated,2.4
T1492,C60591,Refund Request,46 hours,Pending,1.1
T1493,C27416,Product Inquiry,16 hours,Resolved,2.0
T1494,C82680,,36 hours,Pending,2.5
T1495,C10660,,5 hours,Escalated,1.9
T1496,C21351,Product Inquiry,9 hours,Escalated,3.7
T1497,C93039,Account Issue,6 hours,Escalated,1.3
T1498,C72834,Product Inquiry,,Escalated,4.9
T1499,,Account Issue,4 hours,Escalated,1.8
T1500,C99864,Account Issue,42 hours,Resolved,2.2
T1501,C00806,Order Delay,21 hours,Pending,1.5
T1502,C77082,Refund Request,48 hours,Pending,4.6
T1503,C49207,Order Delay,1 hours,Resolved,3.5
T1504,C78355,,47 hours,Resolved,2.6
T1505,C90692,Order Delay,36 hours,Resolved,2.9
T1506,C83074,,21 hours,Escalated,1.5
T1507,C49946,Product Inquiry,5 hours,Escalated,4.0
T1508,C95613,Order Delay,22 hours,Pending,3.9
T1509,C27284,Order Delay,7 hours,Resolved,2.3
T1510,C68357,Account Issue,27 hours,Escalated,1.8
T1511,C85538,Account Issue,,Resolved,3.3
T1512,C76241,Account Issue,21 hours,Resolved,4.3
T1513,C65255,Account Issue,42 hours,Escalated,3.9
T1514,,Product Inquiry,1 hours,Escalated,1.8
T1515,C75924,Refund Request,16 hours,Escalated,3.6
T1516,C80431,Account Issue,4 hours,Resolved,4.7
T1517,C28500,Order Delay,2 hours,Escalated,4.1
T1518,C65613,Refund Request,47 hours,Resolved,2.4
T1519,C70973,Account Issue,20 hours,Escalated,3.9
T1520,C08559,Refund Request,4 hours,Resolved,4.4
T1521,C61985,Refund Request,,Escalated,4.2
T1522,C24944,Product Inquiry,33 hours,Resolved,5.0
